fecha_inicio_semana,fecha_referencia,horizonte_sem,y_current,y_true,delta_real,delta_predicho,caida_real,alerta_caida_predicha,deteccion_caida_correcta,run_id_alerta_caida_oficial,run_dir_origen
2026-02-09,2026-02-09,3,-0.0198367240853287,0.2100585882774014,0.2298953123627301,0.1318997165973688,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-16,2026-02-16,3,0.0960196886446368,0.0271685648311405,-0.0688511238134963,0.050999288286082314,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-23,2026-02-23,3,0.2772506816416401,0.1211586643975283,-0.15609201724411176,-0.17685146651890188,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-02,2026-03-02,3,0.2100585882774014,-0.0054622217770953,-0.2155208100544967,0.001732457885752492,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-09,2026-03-09,3,0.0271685648311405,0.0669147100498927,0.03974614521875221,0.1430334444401607,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-16,2026-03-16,3,0.1211586643975283,0.110472470964671,-0.010686193432857302,0.005842132508490097,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-23,2026-03-23,3,-0.0054622217770953,0.0668779193556926,0.07234014113278789,0.12368236090941269,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-30,2026-03-30,3,0.0669147100498927,0.042142027416753,-0.024772682633139705,0.0475254495072531,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-04-06,2026-04-06,3,0.110472470964671,0.0732244276596991,-0.0372480433049719,-0.030790231120832304,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-11-24,2025-11-24,4,0.1275159595753403,0.0677012815654136,-0.05981467800992668,-0.09653253612270468,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-01,2025-12-01,4,0.2796059620794268,0.5836218782012019,0.30401591612177514,-0.2112628255135537,False,True,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-08,2025-12-08,4,0.0821158156091689,0.1083419780858929,0.02622616247672399,0.04678441703913021,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-15,2025-12-15,4,0.3038130765246692,0.0687870202028637,-0.2350260563218055,-0.17695760946018071,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-22,2025-12-22,4,0.0677012815654136,0.2454262295855256,0.177724948020112,0.02587594804776419,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2025-12-29,2025-12-29,4,0.5836218782012019,0.3205651914908854,-0.2630566867103165,-0.3804682244399549,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-05,2026-01-05,4,0.1083419780858929,0.1700074058227992,0.061665427736906295,0.08641273035422291,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-12,2026-01-12,4,0.0687870202028637,-0.0198367240853287,-0.0886237442881924,0.063954945718704,True,False,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-19,2026-01-19,4,0.2454262295855256,0.0960196886446368,-0.1494065409408888,-0.13310013642482071,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-01-26,2026-01-26,4,0.3205651914908854,0.2772506816416401,-0.04331450984924534,-0.23656517805917182,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-02,2026-02-02,4,0.1700074058227992,0.2100585882774014,0.04005118245460221,-0.05776400930684239,False,True,False,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-09,2026-02-09,4,-0.0198367240853287,0.0271685648311405,0.0470052889164692,0.1915917383730354,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-16,2026-02-16,4,0.0960196886446368,0.1211586643975283,0.025138975752891507,0.06971598640340672,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-02-23,2026-02-23,4,0.2772506816416401,-0.0054622217770953,-0.2827129034187354,-0.11828021088585297,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-02,2026-03-02,4,0.2100585882774014,0.0669147100498927,-0.14314387822750868,-0.2149733004989443,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-09,2026-03-09,4,0.0271685648311405,0.110472470964671,0.0833039061335305,0.10345200703963081,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-16,2026-03-16,4,0.1211586643975283,0.0668779193556926,-0.05428074504183571,-0.015473166502322597,True,True,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-23,2026-03-23,4,-0.0054622217770953,0.042142027416753,0.0476042491938483,0.0852025713242041,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
2026-03-30,2026-03-30,4,0.0669147100498927,0.0732244276596991,0.006309717609806392,0.05296963700795369,False,False,True,E9_v2_clean,/home/emilio/Documentos/RAdAR_worktrees/arquitectura_modelado/radar_core/experiments/runs/E9_v2_clean_20260609_102940
